Starting new measurement at 08.May.2019 - 12:47:26
Time, Eurotherm2416, Keithley2000

0.52,25.8,30.9857429
15.308,25.9,30.8473049
30.107,25.8,30.7244318
45.405,25.8,30.7067463
60.194,25.9,30.6210827
75.492,25.8,30.5101875
90.281,25.9,30.5021481
105.579,25.9,30.3849075
120.368,25.7,30.4189174
135.666,25.8,30.4838665
150.454,25.8,30.3290895
165.243,25.8,30.3038045
180.541,25.8,30.3259124
195.33,25.9,30.2961101
210.628,25.7,30.2766559
225.417,25.7,30.1957085
240.715,25.8,30.1254328
255.504,25.9,30.0604751
270.802,25.8,30.0766937
285.591,25.8,29.9969265
300.389,25.8,30.0104405
315.687,25.8,29.9766383
330.476,25.6,29.9690821
345.774,25.7,29.9947961
360.573,25.7,29.8668127
375.871,25.8,29.875386
390.66,25.9,29.9020885
405.448,25.8,29.7826279
420.747,25.7,29.7968429
435.545,25.8,29.8111554
450.844,25.8,29.8580492
465.629,25.8,29.819069
480.927,25.8,29.8250182
495.715,25.8,29.7727094
511.014,25.7,29.8067832
525.812,25.7,29.7205079
540.601,25.9,29.676883
555.899,25.8,29.7246998
570.688,25.7,29.7562561
585.986,25.8,29.6656562
600.775,25.8,29.6348753
616.073,25.7,29.6870557
630.862,25.8,29.6371294
646.16,25.8,29.3542459
660.948,25.7,29.1686179
675.747,25.7,29.1663638
691.045,25.9,29.1765072
705.834,25.9,29.1621162
721.132,25.7,29.099538
735.921,25.7,29.0942333
751.219,25.8,29.0993957
766.008,25.8,29.0514059
781.306,25.8,29.0043997
796.094,25.7,29.0769835
810.883,25.9,28.9762234
826.181,25.7,29.0002345
840.97,25.8,28.989748
856.268,25.8,28.9499585
871.057,25.7,28.9156911
886.365,25.8,28.8809774
901.154,25.9,28.897658
916.452,25.7,28.9166998
931.241,25.8,28.8239607
946.039,25.7,28.8104372
961.337,25.8,28.8174956
976.126,25.8,28.7472914
991.424,25.7,28.7624103
1006.213,25.8,28.7477585
1021.511,25.8,28.7743405
1036.3,25.9,28.7138061
1051.088,25.9,28.7466314
1066.387,25.8,28.7194414
1081.175,25.8,28.6314285
1096.474,25.8,28.6958133
1111.262,25.7,28.6590459
1126.56,25.9,28.7055907
1141.359,28.0,31.0332933
1156.667,33.5,32.5361915
1171.456,32.6,31.9518463
1186.244,31.9,31.7326832
1201.543,31.4,31.4063498
1216.331,31.0,30.9188264
1231.63,30.7,30.6238655
1246.418,30.5,30.4003656
1261.726,30.2,30.0023752
1276.525,30.1,29.7600548
1291.823,29.9,29.5737521
1306.612,29.7,29.4357823
1321.4,29.6,29.4723168
1336.699,29.5,29.4441403
1351.497,29.5,29.4090427
1366.796,29.2,29.3468964
1381.604,29.0,29.2359665
1396.893,29.0,29.1353262
1411.681,29.0,29.0646377
1426.48,29.0,29.0068276
1441.778,29.5,28.9942274
1456.566,29.7,28.8174818
1471.865,29.6,28.8125148
1486.663,29.9,28.886688
1501.962,30.0,28.7925921
1516.75,30.2,28.8660704
1532.049,30.4,28.9827046
1546.847,30.5,29.0466046
1561.646,30.5,29.1134464
1576.954,30.6,29.1328708
1591.742,30.9,29.2739404
1607.041,30.9,29.2963669
1621.829,30.8,29.2465714
1637.112,31.3,29.4349556
1651.9,31.5,29.2929306
1666.689,31.6,29.3261182
1681.987,31.8,29.1982719
1696.776,31.7,29.4056478
1712.074,31.7,29.4628426
1726.863,31.7,29.3773137
1742.161,32.1,29.4917977
1756.95,32.4,29.6650727
1772.248,32.0,29.8296155
1787.036,32.5,29.7726736
1801.825,32.6,29.9889848
1817.123,32.7,29.7499609
1831.912,32.8,30.1077964
1847.21,32.8,30.1494171
1861.999,33.1,29.9431127
1877.297,33.4,29.9527698
1892.086,32.9,29.6869916
1907.384,33.3,29.7901669
1922.173,33.5,29.8606891
1936.961,33.7,29.9336096
1952.259,33.8,29.8065891
1967.048,33.8,29.7970434
1982.346,34.2,29.624338
1997.135,34.2,29.6864735
2012.433,34.3,29.6539171
2027.222,34.4,29.8746996
2042.52,34.7,29.9195442
2057.309,34.6,29.8839134
2072.097,34.8,30.0444038
2087.396,35.2,30.4095218
2102.184,35.0,30.4039436
2117.482,35.0,30.2397635
2132.271,35.3,30.2393233
2147.569,35.5,30.2641039
2162.358,35.5,30.4667142
2177.146,35.6,30.1864164
2192.445,35.6,29.9631575
2207.229,36.1,30.1694364
2222.528,35.9,30.1323164
2237.326,36.1,29.9758696
2252.624,36.1,30.1909247
2267.423,36.6,30.3650406
2282.211,36.6,30.6879519
2297.51,36.5,30.3816966
2312.298,36.8,30.3712066
2327.597,36.9,30.4645201
2342.385,37.1,30.5690237
2357.684,37.1,30.4084045
2372.472,37.4,30.2765831
2387.261,37.4,30.3937998
2402.559,37.5,30.5605775
2417.348,37.7,30.5741333
2432.646,37.8,30.4031138
2447.434,37.8,30.2472138
2462.733,38.0,30.2739228
2477.521,38.3,30.5387604
2492.82,38.3,30.3509169
2507.608,38.5,30.1225148
2522.397,38.4,30.221288
2537.695,38.7,30.2095895
2552.484,38.5,30.006083
2567.782,38.9,29.9644214
2582.57,39.2,30.1236563
2597.869,39.2,30.1218771
2612.657,39.2,30.4211954
2627.956,39.4,30.2557237
2642.744,39.7,30.0754071
2657.533,39.7,29.9714838
2672.831,39.6,29.9758973
2687.62,39.9,29.8233837
2702.918,40.0,30.1641431
2717.707,40.3,29.8120328
2733.005,40.3,29.9091537
2747.793,40.4,29.8677909
2762.582,40.6,29.9111597
2777.88,40.8,29.5118318
2792.669,40.7,29.8656827
2807.967,40.7,29.786156
2822.756,41.0,29.7520516
2838.054,41.1,29.95311
2852.843,41.6,29.7413042
2867.641,41.5,29.7877671
2882.94,41.6,29.6805119
2897.728,41.5,29.8567733
2913.026,41.9,29.6778289
2927.815,41.7,29.7708936
2943.113,41.9,29.6486816
2957.902,42.3,29.7865622
2973.2,42.5,29.6715477
2987.989,42.3,29.7422248
3002.777,42.5,29.6911074
3018.076,42.8,29.5048658
3032.864,42.7,29.4930942
3048.163,43.1,29.4451816
3062.961,43.1,29.464769
3078.259,43.2,29.3358013
3093.048,43.4,29.2224393
3107.836,43.3,29.3707413
3123.135,43.6,29.1473903
3137.933,43.6,29.217788
3153.232,43.9,28.8658019
3168.02,44.1,28.971873
3183.319,43.9,28.7887245
3198.107,44.0,29.0097408
3212.896,44.2,28.9025265
3228.194,44.3,29.030556
3242.992,44.8,28.9511334
3258.301,44.5,28.7282961
3273.089,44.9,28.6552636
3288.388,45.1,28.6617001
3303.176,45.2,28.9208189
3318.475,45.4,28.6341797
3333.263,45.4,28.4830518
3348.052,45.5,28.3926686
3363.35,45.5,28.3977342
3378.138,45.8,28.3442781
3393.447,45.9,28.5816338
3408.235,46.0,28.5452944
3423.534,46.1,28.6921292
3438.322,46.1,28.6126229
3453.111,46.4,28.3878274
3468.409,46.3,28.3523065
3483.198,46.8,28.3548328
3498.506,46.6,28.4035258
3513.295,46.6,28.5227546
3528.593,46.8,28.1102757
3543.381,47.0,28.1959271
3558.17,47.1,27.9964561
3573.468,47.6,28.0080813
3588.257,47.2,28.1335086
3603.555,47.8,28.0520507
3618.344,47.7,28.164774
3633.642,48.0,28.0159267
3648.441,48.2,27.6795515
3663.239,47.8,27.8220165
3678.538,48.2,27.2694586
3693.326,48.3,27.3362576
3708.624,48.3,27.3925525
3723.413,48.5,27.1714918
3738.711,48.6,27.1905597
3753.5,48.9,27.0857041
3768.798,49.0,26.9208703
3783.587,49.0,26.7415283
3798.385,49.0,26.872273
3813.684,49.2,26.4948208
3828.472,49.5,26.2663148
3843.771,49.5,26.1492017
3858.559,49.6,26.3407819
3873.857,50.2,26.0906648
3888.646,49.9,26.3732595
3903.434,49.8,26.4137516
